Year,Value
2000,6.8
2001,6.8
2002,6.8
2003,6.8
2004,6.8
2005,3.8
2006,3.8
2007,3.8
2008,3.4
2009,2.7
2010,5.4
2011,6.6
2012,5.9
2013,5.2
2014,3.9
2015,5.7
2016,3.8
2017,6.2
