Indicator
#1-2-1
#10-2-1
#16-6-1
#3-2-1
#3-2-2
#3-4-2
#4-2-2
#5-5-1
#6-1-1
#7-1-1
#8-1-1
#8-10-2
#8-2-1
#8-5-2
#8-6-1
