Year,Value
1998,5.1
1999,5.1
2000,8.2
2001,9.8
2002,8.7
2003,6.7
2004,9.4
2005,10.8
2006,15.5
2007,12.8
2008,6.5
2009,10.5
2010,12.8
2011,7.6
2012,11.3
2013,7.6
2014,12.2
2015,10.7
2016,11.2
2017,10.3
2018,8.3
2019,5.7
2021,13.8
