Year,Value
1985,0.06
1986,0.22
1987,0.26
1988,0.34
1989,0.32
1990,0.40
1991,0.35
1992,0.26
1993,0.33
1994,0.26
1995,0.22
1996,0.31
1997,0.40
1998,0.43
1999,0.44
2000,0.49
2001,0.37
2002,0.64
2003,0.56
2004,0.53
2005,0.39
2006,0.51
2007,0.35
2008,0.62
2009,0.54
2010,0.50
2011,0.56
2012,0.69
2013,0.80
2014,0.61
2015,0.55
2016,0.60
2017,0.52
